demo	sceneChanged	total	animated
official-custom-ohlc	CRASHED	0	0
official-custom-ohlc	true	53	0
official-candlestick-sh	CRASHED	0	0
official-candlestick-sh	true	476	186
official-candlestick-large	CRASHED	0	0
official-candlestick-large	true	91	0
official-candlestick-touch	CRASHED	0	0
official-candlestick-touch	true	145	34
official-candlestick-brush	CRASHED	0	0
official-candlestick-brush	true	719	331
official-candlestick-sh-2015	CRASHED	0	0
official-candlestick-sh-2015	false	337	250
official-radar	CRASHED	0	0
official-radar	true	54	8
official-radar-aqi	CRASHED	0	0
official-radar-aqi	false	176	62
official-radar-custom	CRASHED	0	0
official-radar-custom	true	108	23
official-radar2	CRASHED	0	0
official-radar2	true	297	54
official-radar-multiple	CRASHED	0	0
official-radar-multiple	true	176	42
official-data-transform-aggregate	CRASHED	0	0
official-data-transform-aggregate	true	78	0
official-boxplot-light-velocity	CRASHED	0	0
official-boxplot-light-velocity	false	65	0
official-boxplot-light-velocity2	CRASHED	0	0
official-boxplot-light-velocity2	false	65	0
official-boxplot-multi	CRASHED	0	0
official-boxplot-multi	true	79	8
official-heatmap-cartesian	CRASHED	0	0
official-heatmap-cartesian	false	169	0
official-heatmap-large	CRASHED	0	0
official-heatmap-large	false	20162	0
official-heatmap-large-piecewise	CRASHED	0	0
official-heatmap-large-piecewise	false	20174	0
official-heatmap-map	CRASHED	0	0
official-heatmap-map	false	115	0
official-graph-force2	CRASHED	0	0
official-graph-force2	true	519	0
official-graph-grid	CRASHED	0	0
official-graph-grid	false	41	0
official-graph-simple	CRASHED	0	0
official-graph-simple	false	23	0
official-graph-label-overlap	CRASHED	0	0
official-graph-label-overlap	true	426	313
official-graph-circular-layout	CRASHED	0	0
official-graph-circular-layout	true	430	382
official-graph-force-dynamic	CRASHED	0	0
official-graph-force-dynamic	false	6	0
official-graph-life-expectancy	CRASHED	0	0
official-graph-life-expectancy	false	145	0
official-graph-webkit-dep	CRASHED	0	0
official-graph-webkit-dep	true	1520	0
official-graph-npm	CRASHED	0	0
official-graph-npm	false	2383	0
official-tree-basic	CRASHED	0	0
official-tree-basic	true	158	0
official-tree-legend	CRASHED	0	0
official-tree-legend	true	62	16
official-tree-orient-bottom-top	CRASHED	0	0
official-tree-orient-bottom-top	true	335	0
official-tree-orient-right-left	CRASHED	0	0
official-tree-orient-right-left	true	158	0
official-tree-polyline	CRASHED	0	0
official-tree-polyline	true	181	0
official-tree-vertical	CRASHED	0	0
official-tree-vertical	true	335	0
official-treemap-sunburst-transition	CRASHED	0	0
official-treemap-sunburst-transition	false	2096	1363
official-treemap-drill-down	CRASHED	0	0
official-treemap-drill-down	false	486	312
official-treemap-show-parent	CRASHED	0	0
official-treemap-show-parent	false	313	198
official-treemap-simple	CRASHED	0	0
official-treemap-simple	false	21	10
official-treemap-visual	CRASHED	0	0
official-treemap-visual	false	693	447
official-treemap-obama	CRASHED	0	0
official-treemap-obama	false	709	447
official-sunburst-simple	CRASHED	0	0
official-sunburst-simple	false	14	0
official-sunburst-borderRadius	CRASHED	0	0
official-sunburst-borderRadius	false	14	0
official-sunburst-label-rotate	CRASHED	0	0
official-sunburst-label-rotate	false	17	0
official-sunburst-monochrome	CRASHED	0	0
official-sunburst-monochrome	false	47	0
official-sunburst-visualMap	CRASHED	0	0
official-sunburst-visualMap	false	29	0
official-sunburst-drink	CRASHED	0	0
official-sunburst-drink	false	115	0
official-sunburst-book	CRASHED	0	0
official-sunburst-book	false	69	0
official-scatter-matrix	CRASHED	0	0
official-scatter-matrix	true	3377	0
official-parallel-simple	CRASHED	0	0
official-parallel-simple	false	75	0
official-parallel-aqi	CRASHED	0	0
official-parallel-aqi	true	242	102
official-parallel-nutrients	CRASHED	0	0
official-parallel-nutrients	false	8001	0
official-sankey-simple	CRASHED	0	0
official-sankey-simple	false	14	0
official-sankey-vertical	CRASHED	0	0
official-sankey-vertical	false	14	0
official-sankey-itemstyle	CRASHED	0	0
official-sankey-itemstyle	false	215	0
official-sankey-levels	CRASHED	0	0
official-sankey-levels	false	135	0
official-sankey-energy	CRASHED	0	0
official-sankey-energy	false	121	0
official-sankey-nodeAlign-left	CRASHED	0	0
official-sankey-nodeAlign-left	false	121	0
official-sankey-nodeAlign-right	CRASHED	0	0
official-sankey-nodeAlign-right	false	121	0
official-funnel	CRASHED	0	0
official-funnel	true	36	4
official-funnel-align	CRASHED	0	0
official-funnel-align	true	52	16
official-gauge	CRASHED	0	0
official-gauge	false	90	0
official-gauge-simple	CRASHED	0	0
